inv_index,x,y,predinstance,nn_dist_m,tile_name,note,tree_pointcloud_file
0,416700.676343439,5346611.6686289,1123,0.0216816594819858,tile_98.laz,ok,trees/pred_1123.laz
1,416698.102078088,5346611.89774244,1123,0.0030683918204838,tile_98.laz,ok,trees/pred_1123.laz
2,416699.397935178,5346613.17863203,1123,0.0080522289016016,tile_98.laz,ok,trees/pred_1123.laz
3,416704.584803682,5346614.5140774,1124,0.0063008374026267,tile_98.laz,ok,trees/pred_1124.laz
4,416703.997276127,5346609.91064066,1125,0.0027982010101715,tile_98.laz,ok,trees/pred_1125.laz
5,416702.405929985,5346609.70051411,1128,0.0041023567791135,tile_98.laz,ok,trees/pred_1128.laz
6,416701.477423741,5346607.78461707,1128,0.0059676666185475,tile_98.laz,ok,trees/pred_1128.laz
7,416702.039623431,5346607.20629043,1128,0.0103136477479337,tile_98.laz,ok,trees/pred_1128.laz
8,416702.748023811,5346603.50983477,1010,0.0103555411048757,tile_98.laz,ok,trees/pred_1010.laz
9,416708.328629742,5346602.88320678,1129,0.0034872691438303,tile_98.laz,ok,trees/pred_1129.laz
10,416709.547805861,5346602.76363289,1130,0.0042440707045816,tile_98.laz,ok,trees/pred_1130.laz
11,416710.797182823,5346608.98779502,1255,0.003577488214838,tile_98.laz,ok,trees/pred_1255.laz
12,416710.610366837,5346609.51023125,1255,0.0004336427661203,tile_98.laz,ok,trees/pred_1255.laz
13,416708.98986594,5346611.36570594,1255,0.0057075142457029,tile_98.laz,ok,trees/pred_1255.laz
14,416707.818070384,5346612.32200088,1251,0.0027797368200355,tile_98.laz,ok,trees/pred_1251.laz
15,416712.025681261,5346615.28253499,1260,0.0050077622079502,tile_98.laz,ok,trees/pred_1260.laz
16,416714.833950391,5346614.36868784,1257,0.0041626136578493,tile_98.laz,ok,trees/pred_1257.laz
17,416715.636372824,5346614.00595958,1257,0.0054296776957625,tile_118.laz,ok,trees/pred_1257.laz
18,416714.460812918,5346618.94533248,1384,0.0047377825528123,tile_98.laz,ok,trees/pred_1384.laz
19,416716.330079025,5346619.52766282,1388,0.002338515697247,tile_118.laz,ok,trees/pred_1388.laz
20,416714.456909197,5346622.18078944,1382,0.006954151175282,tile_98.laz,ok,trees/pred_1382.laz
21,416713.58891433,5346625.77568874,1383,0.0044458565851264,tile_98.laz,ok,trees/pred_1383.laz
22,416718.516824781,5346630.8044617,1525,0.0081537968835613,tile_118.laz,ok,trees/pred_1525.laz
23,416724.646140171,5346623.92618426,1524,0.0054275360445379,tile_118.laz,ok,trees/pred_1524.laz
24,416728.016845808,5346626.63623613,1530,0.0136820861130249,tile_118.laz,ok,trees/pred_1530.laz
25,416730.908679543,5346622.55839948,1530,0.0116754306878481,tile_118.laz,ok,trees/pred_1530.laz
26,416728.678165628,5346618.46858927,-1,0.0023141046400443,tile_118.laz,ok,trees/pred_-1.laz
27,416727.406988693,5346616.52740813,1390,0.003973130244283,tile_118.laz,ok,trees/pred_1390.laz
28,416724.023482953,5346620.64440749,1385,0.0056175559682232,tile_118.laz,ok,trees/pred_1385.laz
29,416726.30380344,5346613.16258681,1389,0.0045997545089128,tile_118.laz,ok,trees/pred_1389.laz
30,416720.445883841,5346612.17673331,1386,0.0052549047813154,tile_118.laz,ok,trees/pred_1386.laz
31,416719.171068205,5346608.20259943,1267,0.002810355784073,tile_118.laz,ok,trees/pred_1267.laz
32,416724.628217509,5346605.61562245,1391,0.0093107680893645,tile_118.laz,ok,trees/pred_1391.laz
