inv_index,x,y,predinstance,nn_dist_m,tile_name,note
0,416700.676343439,5346611.6686289,1123,0.021681659481985863,tile_98.laz,ok
1,416698.102078088,5346611.89774244,1123,0.003068391820483804,tile_98.laz,ok
2,416699.397935178,5346613.17863203,1123,0.00805222890160167,tile_98.laz,ok
3,416704.584803682,5346614.5140774,1124,0.00630083740262671,tile_98.laz,ok
4,416703.997276127,5346609.91064066,1125,0.002798201010171575,tile_98.laz,ok
5,416702.405929985,5346609.70051411,1128,0.004102356779113584,tile_98.laz,ok
6,416701.477423741,5346607.78461707,1128,0.0059676666185475725,tile_98.laz,ok
7,416702.039623431,5346607.20629043,1128,0.010313647747933759,tile_98.laz,ok
8,416702.748023811,5346603.50983477,1010,0.010355541104875791,tile_98.laz,ok
9,416708.328629742,5346602.88320678,1129,0.0034872691438303884,tile_98.laz,ok
10,416709.547805861,5346602.76363289,1130,0.004244070704581681,tile_98.laz,ok
11,416710.797182823,5346608.98779502,1255,0.0035774882148380087,tile_98.laz,ok
12,416710.610366837,5346609.51023125,1255,0.00043364276612031853,tile_98.laz,ok
13,416708.98986594,5346611.36570594,1255,0.005707514245702926,tile_98.laz,ok
14,416707.818070384,5346612.32200088,1251,0.002779736820035569,tile_98.laz,ok
15,416712.025681261,5346615.28253499,1260,0.0050077622079502,tile_98.laz,ok
16,416714.833950391,5346614.36868784,1257,0.004162613657849394,tile_98.laz,ok
17,416715.636372824,5346614.00595958,1257,0.005429677695762529,tile_118.laz,ok
18,416714.460812918,5346618.94533248,1384,0.0047377825528123405,tile_98.laz,ok
19,416716.330079025,5346619.52766282,1388,0.002338515697247038,tile_118.laz,ok
20,416714.456909197,5346622.18078944,1382,0.006954151175282008,tile_98.laz,ok
21,416713.58891433,5346625.77568874,1383,0.004445856585126424,tile_98.laz,ok
22,416718.516824781,5346630.8044617,1525,0.008153796883561328,tile_118.laz,ok
23,416724.646140171,5346623.92618426,1524,0.005427536044537952,tile_118.laz,ok
24,416728.016845808,5346626.63623613,1530,0.013682086113024901,tile_118.laz,ok
25,416730.908679543,5346622.55839948,1530,0.011675430687848164,tile_118.laz,ok
26,416728.678165628,5346618.46858927,-1,0.0023141046400443244,tile_118.laz,ok
27,416727.406988693,5346616.52740813,1390,0.003973130244283059,tile_118.laz,ok
28,416724.023482953,5346620.64440749,1385,0.0056175559682232435,tile_118.laz,ok
29,416726.30380344,5346613.16258681,1389,0.0045997545089128955,tile_118.laz,ok
30,416720.445883841,5346612.17673331,1386,0.005254904781315411,tile_118.laz,ok
31,416719.171068205,5346608.20259943,1267,0.002810355784073051,tile_118.laz,ok
32,416724.628217509,5346605.61562245,1391,0.009310768089364572,tile_118.laz,ok
33,416722.325773016,5346603.43315841,1269,0.005276641724444903,tile_118.laz,ok
34,416723.124130642,5346601.94036302,1263,0.004146563184337663,tile_118.laz,ok
35,416720.037662877,5346598.56561091,1135,0.004972550570426338,tile_118.laz,ok
36,416716.976139981,5346604.68749884,1265,0.01854477703804844,tile_118.laz,ok
37,416715.762446863,5346603.65573221,1266,0.004919468770268469,tile_118.laz,ok
38,416713.771208815,5346601.87877157,1131,0.0017234484752789456,tile_98.laz,ok
39,416713.697895059,5346605.61938294,1259,0.00791913629591212,tile_98.laz,ok
40,416733.688567673,5346740.56599574,3377,0.004252724194339085,tile_128.laz,ok
41,416733.511728628,5346742.73162313,3376,0.0023712241699713698,tile_128.laz,ok
