name,species,plot_id,dbh_cm,inv_height_m,pc_height_m,crown_area,n_points,ground_pct,z_p05,z_p50,z_p95,flag_ground,flag_dbh,flag_height,flag_crown,flag_height_mismatch
10_1,Beech,10.0,16.6,27.06410653,22.95,25.14,62295,0.004,2.080000000000041,8.910000000000082,17.639999999999986,False,False,False,False,False
10_10,Beech,10.0,5.7,,27.6,23.34,56419,0.003,2.259999999999991,11.5,24.75,False,False,False,False,False
10_11,Beech,10.0,18.5,25.23413925,12.9,59.19,291348,0.0,2.6399999999999864,8.409999999999968,11.480000000000018,False,False,False,False,True
10_12,Beech,10.0,9.2,26.88881502,20.56,59.8,256294,0.001,7.199999999999932,14.634999999999991,18.449999999999932,False,False,False,False,True
10_13,Beech,10.0,11.5,26.88881502,14.52,38.7,93624,0.003,1.8099999999999454,6.809999999999945,12.299999999999955,False,False,False,False,True
10_14,Beech,10.0,29.6,28.22193904,28.84,51.12,174170,0.002,8.440000000000055,21.210000000000036,26.49000000000001,False,False,False,False,False
10_15,Beech,10.0,39.8,30.26935999,30.2,45.61,337891,0.003,10.639999999999986,23.230000000000018,27.899999999999977,False,False,False,False,False
10_16,Beech,10.0,32.1,28.58762275,11.06,0.32,10782,0.002,2.1900000000000546,6.690000000000055,10.509999999999991,False,False,False,False,True
10_17,Beech,10.0,11.1,29.74433557,21.91,20.13,53686,0.004,1.5300000000000864,7.259999999999991,13.220000000000027,False,False,False,False,True
10_18,Beech,10.0,12.7,28.4504703,20.3,9.82,34381,0.011,1.5,8.289999999999964,14.269999999999982,False,False,False,False,True
10_19,Beech,10.0,8.6,,14.86,47.25,369562,0.002,3.1000000000000227,9.120000000000005,13.3900000000001,False,False,False,False,False
10_2,Beech,10.0,19.1,28.53857203,25.08,31.76,85832,0.003,12.25,19.529999999999973,23.379999999999995,False,False,False,False,False
10_20,Beech,10.0,7.0,27.1471118,9.84,21.47,27759,0.006,1.7100000000000364,5.710000000000036,9.0,False,False,False,False,True
10_21,Beech,10.0,33.1,,27.59,28.8,187102,0.004,5.990000000000009,24.24000000000001,26.66999999999996,False,False,False,False,False
10_22,Beech,10.0,17.5,,26.29,37.62,158883,0.004,5.860000000000014,16.470000000000027,24.660000000000082,False,False,False,False,False
